Id,SalePrice
2658,131747.62226825522
2718,161225.65070430445
2414,214268.5108189709
1989,98185.81499387382
625,174629.5001079399
333,92225.95556260942
1327,107701.53397383468
858,153988.24766941424
95,174456.83511758715
1568,169821.613944544
2482,157540.138023384
1364,111137.30290324672
2584,139415.12281634472
818,289309.86486419605
2673,151750.0730150237
2089,122775.61109552436
1297,141397.4591107959
790,116521.68698777191
2616,178129.2060240444
720,186231.705002842
222,162829.49049071144
557,127537.86176522511
1148,190131.86290425065
2766,164277.7794517545
534,178216.039274374
1452,124195.11548772898
630,127241.01727234267
2648,115417.63255246863
125,159194.27447652456
1904,70138.04953888869
1670,111197.15652459624
756,92579.88887865654
717,194497.20010872144
1032,156312.6891027908
852,212090.14380228665
1731,167260.51220454474
2639,108474.36589274241
2071,91517.936061585
1267,129574.21381970604
1851,188113.64039585704
567,163911.88409818828
2439,205067.46184979047
1898,149224.3421170313
647,167930.48196187604
2256,217451.1132831329
979,91890.31644998975
1444,216746.0651404898
2485,119220.71050765294
157,136216.3311226548
88,121141.07610745548
2003,109870.2518336638
186,198627.57758653667
1425,236186.05148957044
2695,121821.43076019154
738,111253.77968544919
395,157147.86665897732
1353,164594.44869711756
1878,136421.9755304043
390,154953.21967737703
1456,229224.5085854746
1103,314059.8694970216
1387,125229.18695513104
2070,145074.06925128927
1199,165901.11722467415
2479,173397.98638400625
501,308301.1413364409
2362,99024.79259728923
1718,193749.0030527395
2188,89548.76998277439
1483,154433.8341225401
2557,94131.87690383349
437,385884.648084901
2224,188892.85943964304
1628,173124.36876354
397,144611.83935563307
587,187665.2187734986
2182,992177.796457262
971,136881.5967209403
2611,144452.7456872271
1887,105962.17004957919
2399,362466.2919004966
2148,194940.63446181145
304,112338.5721248527
1997,135729.88532254947
2817,118290.74990005074
1431,199316.87593226208
427,331938.6085305797
263,128256.24325181928
598,161543.858478049
2895,228811.17157052024
687,138133.31801697827
1822,138647.21652778058
2191,104825.58365955876
179,116346.63985734753
1009,211509.2978107719
2010,133724.07581540736
1991,134838.148593213
1411,179612.70822790446
1721,216184.77823938688
1144,187021.52069076776
593,215891.6372658209
575,339982.75822295377
1249,168219.6698170818
1604,128034.12575847808
1064,578302.4431085003
1923,153341.78040204608
1988,104949.98317705117
2325,169718.02517363252
114,200033.19389183825
2700,163434.12789712407
217,128140.9502565386
343,172951.97598923268
386,219538.30282676307
2005,114231.85701854994
2908,137805.25768272195
1814,230366.2318478474
2446,621136.8104593398
208,139035.61556240762
1679,109805.00934323974
822,329354.67707573535
6,195786.11518421565
1781,417451.1548314783
2397,281908.65796950343
2340,309627.52006737713
1618,167857.30948762016
2843,135332.02961454567
1061,371729.7244483469
2786,131628.57584019523
1935,139250.8095098994
1341,123020.74614678824
521,269654.0122801143
2136,138956.8724374204
996,196841.51907857604
227,147469.34810102225
135,177263.25862910497
1167,160773.09824988825
294,221779.81329156796
1776,197980.74364633992
540,160637.64998476524
1717,199447.21360211223
2303,132304.80764447225
116,181965.12947639878
127,138666.95486920394
1371,129221.13490542454
1014,131393.9888911366
1507,108431.07717311883
702,115187.03784757704
750,145206.97379505273
261,152184.20646289847
1559,77870.6342458169
577,212551.18783888113
2812,192326.29143813628
2080,152680.2975901286
1368,103357.11045591095
2376,127277.24236036975
659,101919.18355501432
1235,136456.17025787284
332,80554.00921591386
1917,141016.7910301495
2094,249494.446557982
1460,249801.3884149085
1471,211895.97825977474
1509,124295.76545526735
1922,136159.74394991604
433,568261.7040338725
460,248810.98824961996
1116,238297.46112805558
1137,158065.0192228021
53,169419.29389729066
2354,261554.9214846362
1475,195882.89700884328
1761,763876.4143177761
842,141335.54711891923
2739,166689.42506128072
2509,148261.87350023078
1007,202239.99458623602
2610,179331.42757692857
1952,87630.57022764704
2719,163533.28332741023
2921,87789.04544813163
1966,136726.46612999798
292,108730.57608963772
1204,185779.31487632333
1829,272406.74531335896
2419,186734.61444798153
391,148211.9072412752
798,111697.70312630139
481,202590.93537707944
193,183602.15235604317
555,118855.13434881096
899,71273.05814876079
2357,186242.7635671717
328,119714.21896969913
1356,110580.55442343636
1154,108089.27482247874
1730,175632.18307699313
2249,164813.64556020466
1119,286617.57676638925
2856,138817.80903738076
1394,127548.95641585783
2587,121495.25222132332
61,313018.02110782044
2661,164415.53856475194
2711,135585.01543106377
1147,173422.04958033515
757,123361.97329375333
2623,99001.6978052524
2378,133354.28786757588
1413,144558.62713693117
1722,215420.3493567996
1112,220315.38825386617
1623,192920.7448208977
1201,184681.06538405828
1513,112931.32516343774
957,480475.7363753296
1171,269839.3618895463
1145,188564.4698917336
2726,226179.2796203855
703,149501.73934781883
760,95143.0250492612
1964,144299.7491860209
2512,179569.442047132
159,124159.66879829175
1281,159693.33909296597
468,182593.0015755054
290,121963.4145442779
665,89932.05839397428
1463,252190.8422265672
1792,216731.04121830393
923,149935.1276096316
500,250603.76233270054
1408,159920.71970584348
331,88726.11064081993
170,116343.49598470429
2192,105009.57854114936
2571,304506.4329369695
2314,170531.46853244049
2647,89015.86125865973
422,495143.55772093264
2457,362032.75977983105
1838,201590.76914814455
2805,252499.6596523084
1645,153009.4916817995
1711,288461.5233610324
2825,228867.13570565145
322,343968.48434042296
2103,250825.71970422816
342,119795.79999785702
600,128369.2668219632
488,171804.72441332764
1725,301361.7001972752
2246,283207.04560089717
2847,149685.24702196303
806,244409.27681949086
530,228762.17901670394
963,192271.81498610083
2678,103951.61694811434
171,89734.44239314282
2401,470635.010329537
805,235002.1929504845
2259,249697.95237677955
1748,188115.39365146498
1361,127339.67852905657
1677,109781.43952714858
1406,151534.82996349328
2322,257095.51106765756
688,146247.11298438284
143,140735.2122390467
804,217375.87166088805
1214,168804.99194068174
2828,143533.84072136314
1999,165782.68326226258
2467,197946.94018654161
2665,150211.28698856095
1538,389432.99135672
398,121752.45141326575
2822,135864.347138973
2157,143914.67876782233
1856,201991.96422852794
1269,101195.54832829899
2570,116422.64494680126
2320,233755.2994090505
1517,129934.93958064653
2304,120055.89382765048
1312,104889.83603609916
2012,138786.07873304724
506,239456.31384794923
2865,208240.36987455448
2367,100612.05600914967
554,83999.56086198136
238,132429.62075422762
1954,119119.02363900565
2488,124842.58735256059
2291,80107.56075143714
1969,106112.26473572096
2725,166081.311955009
1482,152706.72411141358
2763,190880.03663127797
503,251335.90896882734
1584,245707.13345054665
1531,132473.96536338128
2210,146091.84544815635
459,329052.30881624226
556,130171.95881239057
1347,126688.02627599813
1290,80542.55859090578
1388,102256.47226775218
1571,360031.87060918764
2754,196676.98817321876
765,129939.04077561284
2494,131081.09839941325
2870,224207.49637972176
7,216633.5485897403
1114,233798.7129112785
2418,271824.58163692435
291,119940.71888199094
18,333946.26387311553
39,401710.41062776383
1001,237051.75847951023
2442,220255.95378024154
616,121027.0179780376
2680,74704.69380191003
1414,138651.8662639589
289,151148.27138635924
40,241029.0998160188
860,124770.90734320208
409,135297.9008007529
673,149008.07135182322
2427,176691.58667034874
2036,206718.22823787061
2564,141207.00914355955
642,151166.98591114755
1008,179961.65069403115
1908,138615.12455781447
2519,183739.08877255186
1369,86738.06832634687
2855,161271.36258424344
712,102259.70610202923
1943,105742.15539931654
1958,123323.1471853751
107,154417.59245648916
2295,190875.89561057324
704,93095.3659615278
676,135334.88704543174
259,179419.759563275
93,284568.12686657574
106,247317.0615733308
2315,169790.50233981473
1050,111946.74564560817
1095,202531.97140453084
2709,146591.0411912366
758,120547.74079851597
1496,154020.20398588383
2370,117927.41779424936
2458,290069.78352558386
2733,135446.2693716251
161,285350.4728311695
726,151698.64259865676
845,202215.72119616574
947,247562.7384754147
2232,98835.14086239117
2563,143743.41501461001
2299,133372.71379712498
211,80383.9669197363
605,150152.7034810371
1478,194579.25401477556
2247,272395.4956044245
2274,201790.2001375637
2869,203432.0568009832
967,211781.44183177548
2656,123831.66099535157
667,186182.09649511657
1042,108161.04517276523
2023,152730.00168807173
2447,408040.79261598835
2055,134702.4729826944
2275,296600.01402313047
2204,170089.34751512215
1563,272210.2752808067
483,203896.12725620717
796,131944.41095911255
1526,156344.48113904966
2042,113643.96016437413
442,338662.4198090348
1693,318829.61299830425
1468,221939.9728345024
1430,196725.79313314543
2605,120248.37772819574
1529,203910.1849184124
335,145752.4927816857
1287,122997.08101042977
31,99213.1615885302
1785,327652.24650763744
82,163936.54435103654
2620,130952.01095401528
252,177058.31878810987
721,69832.23649967584
2165,182354.12762886213
2316,192426.13334870187
775,135631.80831970827
1558,85514.59888177131
17,217288.93597151336
1022,216787.18301045324
925,130871.12317111668
438,262548.92862396024
1270,123714.53170174321
1272,120736.61367732173
215,131622.78417456834
266,231558.9831479543
2402,273720.1508287763
1250,129256.68157507891
1984,109711.78182924695
1279,142474.22479441462
377,257543.45955078994
1252,109725.0345122264
2156,263340.77299164695
499,316721.08159862243
1374,135284.97505902514
