Id,SalePrice
2658,130059.74932209284
2718,161116.8701052239
2414,213810.35338909354
1989,97660.88821592304
625,174910.6574621359
333,92252.57136011032
1327,107883.5057099244
858,154692.67043926683
95,174337.02631059484
1568,168761.89931229223
2482,156683.55840850092
1364,110326.46303914145
2584,139428.8896791957
818,294981.9416973002
2673,150052.34342266992
2089,124587.68637068156
1297,140482.13402095795
790,116422.14252928428
2616,177577.86237183047
720,186040.50665143674
222,161456.65189781817
557,127885.90544734366
1148,188825.83341414336
2766,163370.7104534927
534,177541.02477474624
1452,125693.69149332974
630,129034.87145540194
2648,114921.96976823089
125,160127.45059776888
1904,70691.94726266684
1670,111817.69369669723
756,92566.17851961142
717,192906.08894255295
1032,156140.18021929165
852,211877.90123469598
1731,169165.50569153472
2639,108660.31606308148
2071,90279.04222459835
1267,127915.43815513352
1851,186909.78670122536
567,163115.56241601455
2439,204764.36924582056
1898,149222.16015036483
647,167304.56528775388
2256,216092.410646875
979,92071.1837378374
1444,216562.90280333793
2485,118079.40246446033
157,137562.38599934147
88,120099.20004591308
2003,109769.78208654464
186,198570.79716923353
1425,237075.81876268834
2695,121074.74943935951
738,111566.7020529135
395,156589.77942679022
1353,162824.41695218597
1878,135957.12328164597
390,154757.6268752526
1456,229823.17007122698
1103,316208.2303739374
1387,123567.21878652478
2070,142662.56747165116
1199,166558.25460766407
2479,172927.91311015942
501,311586.44813640456
2362,99261.71245363166
1718,193385.56308006553
2188,90330.60060288967
1483,153869.75698697905
2557,94550.7555780226
437,392612.58977950906
2224,190400.84658372516
1628,172456.0619449528
397,144559.28341802
587,188756.98769874685
2182,999476.8174252067
971,136059.94722302427
2611,145002.22798753687
1887,107289.95179734979
2399,366043.8412292822
2148,194160.34188526863
304,112389.18949776824
1997,135842.34437222435
2817,117957.36392377388
1431,200520.79872415602
427,330951.0456445264
263,127964.33848720949
598,163063.16712108397
2895,225358.33944999278
687,139042.23482020275
1822,138304.72876603797
2191,104544.62934461469
179,115683.58717415314
1009,211497.37415169232
2010,134547.95351578892
1991,134340.79924093297
1411,179368.12481505983
1721,214540.31381916907
1144,186474.71115221962
593,215510.72247611717
575,342868.61875183514
1249,167561.07540519477
1604,129139.06017308684
1064,580744.0437695057
1923,153190.52854147003
1988,105074.55042759841
2325,170508.9063663829
114,204269.7769953943
2700,161019.22103959805
217,126697.2346418164
343,173008.22555066278
386,218200.78116682242
2005,113505.04681647087
2908,138095.7278944843
1814,234239.3596229107
2446,621947.5795252401
208,139500.98932607824
1679,107820.3096114418
822,330437.70650523755
6,196403.27473757017
1781,419787.9194104503
2397,284794.2251824026
2340,310537.1424623269
1618,169572.9065075516
2843,135239.17552408486
1061,373141.5054646809
2786,133943.98850886905
1935,139183.4333638703
1341,124794.62110700272
521,270409.1861103399
2136,139336.05117870535
996,198320.10394796566
227,144710.07535420146
135,178039.09918595557
1167,162033.1161338308
294,224910.86261553894
1776,198300.64129541515
540,160039.08974005838
1717,199124.27738347024
2303,133829.1992487834
116,182784.71614577298
127,139855.78083195508
1371,129417.07028739108
1014,130900.01296113072
1507,109872.65896289697
702,115467.8721042976
750,145148.4164992992
261,151929.50198639976
1559,78653.68642347003
577,212094.4173784412
2812,191649.51539000307
2080,153454.42326843514
1368,105319.4680853279
2376,127527.44761268017
659,101668.67769539445
1235,137818.19512636436
332,80373.07967812271
1917,141348.58658735888
2094,247757.54510652722
1460,250051.00920659336
1471,212414.46645316528
1509,125521.6664907873
1922,135585.2799502353
433,603266.9946481385
460,247290.34649938572
1116,239124.5348405642
1137,158093.06368949977
53,169251.53954155752
