0,Sawyer
1,SawyerW
2,NAmes
3,Timber
4,SawyerW
5,NAmes
6,Edwards
7,NAmes
8,OldTown
9,NAmes
10,BrDale
11,CollgCr
12,SawyerW
13,Somerst
14,CollgCr
15,Mitchel
16,OldTown
17,Sawyer
18,Sawyer
19,Somerst
20,Sawyer
21,StoneBr
22,NridgHt
23,Gilbert
24,Gilbert
25,NAmes
26,Sawyer
27,Crawfor
28,IDOTRR
29,NAmes
30,NWAmes
31,Crawfor
32,Veenker
33,NAmes
34,CollgCr
35,NAmes
36,MeadowV
37,NWAmes
38,NWAmes
39,CollgCr
40,Edwards
41,NridgHt
42,Mitchel
43,OldTown
44,Sawyer
45,Crawfor
46,Edwards
47,Crawfor
48,NAmes
49,NridgHt
50,Somerst
51,SWISU
52,NWAmes
53,MeadowV
54,NAmes
55,Sawyer
56,Somerst
57,NAmes
58,NAmes
59,Gilbert
60,NoRidge
61,Somerst
62,ClearCr
63,OldTown
64,NAmes
65,Mitchel
66,Crawfor
67,Edwards
68,NridgHt
69,Blmngtn
70,Edwards
71,Mitchel
72,NAmes
73,Edwards
74,Somerst
75,IDOTRR
76,Sawyer
77,BrkSide
78,NAmes
79,IDOTRR
80,OldTown
81,StoneBr
82,OldTown
83,NAmes
84,Mitchel
85,NridgHt
86,SawyerW
87,NAmes
88,NWAmes
89,Somerst
90,NWAmes
91,CollgCr
92,SawyerW
93,SawyerW
94,NAmes
95,Somerst
96,Sawyer
97,NAmes
98,NridgHt
99,NoRidge
100,StoneBr
101,Edwards
102,Veenker
103,IDOTRR
104,Mitchel
105,NWAmes
106,Somerst
107,OldTown
108,NAmes
109,NridgHt
110,OldTown
111,NAmes
112,BrkSide
113,NAmes
114,Sawyer
115,NWAmes
116,Edwards
117,Somerst
118,ClearCr
119,CollgCr
120,Edwards
121,NAmes
122,Sawyer
123,OldTown
124,OldTown
125,Veenker
126,Gilbert
127,Crawfor
128,Gilbert
129,IDOTRR
130,NPkVill
131,OldTown
132,NPkVill
133,Veenker
134,Edwards
135,BrDale
136,Sawyer
137,NridgHt
138,StoneBr
139,OldTown
140,Gilbert
141,Gilbert
142,Sawyer
143,Edwards
144,Somerst
145,BrkSide
146,Edwards
147,NWAmes
148,CollgCr
149,OldTown
150,NAmes
151,StoneBr
152,NAmes
153,CollgCr
154,NAmes
155,Gilbert
156,StoneBr
157,NAmes
158,BrkSide
159,NAmes
160,Sawyer
161,SawyerW
162,OldTown
163,NridgHt
164,NAmes
165,MeadowV
166,OldTown
167,NPkVill
168,Edwards
169,Sawyer
170,Edwards
171,BrkSide
172,Somerst
173,NAmes
174,NWAmes
175,OldTown
176,Gilbert
177,Sawyer
178,NoRidge
179,BrDale
180,Edwards
181,OldTown
182,NWAmes
183,IDOTRR
184,CollgCr
185,Somerst
186,NoRidge
187,Somerst
188,NAmes
189,StoneBr
190,StoneBr
191,ClearCr
192,Mitchel
193,NWAmes
194,NAmes
195,CollgCr
196,SawyerW
197,Edwards
198,Gilbert
199,NridgHt
200,MeadowV
201,Somerst
202,NoRidge
203,Crawfor
204,Gilbert
205,BrkSide
206,Crawfor
207,Mitchel
208,Blmngtn
209,Mitchel
210,NAmes
211,SawyerW
212,Somerst
213,Sawyer
214,Edwards
215,Blmngtn
216,NAmes
217,OldTown
218,NAmes
219,Crawfor
220,CollgCr
221,NAmes
